omega_tau,C_12,C_13,C_23,K_3
0.0,-1.0,-1.0,1.0,1.0
0.006289474781961547,-1.0,-1.0,1.0,1.0
0.012578949563923095,-1.0,-1.0,1.0,1.0
0.018868424345884642,-1.0,-1.0,1.0,1.0
0.02515789912784619,-1.0,-1.0,1.0,1.0
0.03144737390980774,-1.0,-1.0,1.0,1.0
0.037736848691769284,-1.0,-0.996,0.996,0.992
0.04402632347373083,-1.0,-0.992,0.998,0.99
0.05031579825569238,-0.998,-0.996,1.0,0.998
0.056605273037653926,-0.992,-0.994,0.996,0.998
0.06289474781961547,-0.996,-0.99,1.0,0.994
0.06918422260157703,-0.998,-0.99,0.998,0.99
0.07547369738353857,-0.996,-0.992,0.998,0.994
0.08176317216550011,-1.0,-0.974,0.99,0.964
0.08805264694746166,-0.996,-0.98,1.0,0.984
0.09434212172942322,-0.996,-0.986,0.996,0.986
0.10063159651138476,-1.0,-0.972,1.0,0.972
0.1069210712933463,-0.992,-0.98,0.998,0.986
0.11321054607530785,-0.992,-0.972,0.99,0.97
0.1195000208572694,-0.994,-0.968,0.996,0.97
0.12578949563923095,-0.994,-0.966,0.986,0.958
0.1320789704211925,-0.992,-0.954,0.99,0.952
0.13836844520315406,-0.986,-0.972,0.984,0.97
0.1446579199851156,-0.998,-0.974,0.992,0.968
0.15094739476707714,-0.996,-0.958,0.988,0.95
0.15723686954903868,-0.984,-0.956,0.984,0.956
0.16352634433100022,-0.986,-0.944,0.986,0.944
0.16981581911296179,-0.982,-0.942,0.984,0.944
0.17610529389492333,-0.986,-0.958,0.992,0.964
0.18239476867688487,-0.98,-0.944,0.978,0.942
0.18868424345884643,-0.982,-0.93,0.978,0.926
0.19497371824080797,-0.978,-0.94,0.966,0.9279999999999999
0.20126319302276952,-0.984,-0.916,0.98,0.912
0.20755266780473106,-0.984,-0.924,0.98,0.92
0.2138421425866926,-0.972,-0.916,0.978,0.922
0.22013161736865416,-0.978,-0.874,0.978,0.874
0.2264210921506157,-0.974,-0.888,0.972,0.886
0.23271056693257725,-0.97,-0.894,0.976,0.9
0.2390000417145388,-0.97,-0.88,0.976,0.886
0.24528951649650035,-0.968,-0.872,0.97,0.874
0.2515789912784619,-0.96,-0.896,0.966,0.902
0.25786846606042346,-0.94,-0.858,0.972,0.89
0.264157940842385,-0.968,-0.878,0.964,0.874
0.27044741562434654,-0.962,-0.846,0.974,0.858
0.2767368904063081,-0.976,-0.85,0.964,0.838
0.2830263651882696,-0.966,-0.828,0.966,0.828
0.2893158399702312,-0.962,-0.848,0.956,0.842
0.2956053147521927,-0.962,-0.844,0.96,0.842
0.3018947895341543,-0.95,-0.804,0.938,0.792
0.30818426431611584,-0.958,-0.79,0.956,0.788
0.31447373909807735,-0.956,-0.804,0.928,0.7760000000000001
0.3207632138800389,-0.95,-0.802,0.938,0.79
0.32705268866200043,-0.962,-0.778,0.95,0.766
0.333342163443962,-0.958,-0.79,0.934,0.7660000000000001
0.33963163822592357,-0.952,-0.784,0.922,0.7540000000000001
0.3459211130078851,-0.932,-0.752,0.924,0.744
