omega_tau,C_12,C_13,C_23,K_3
0.0,-1.0,-1.0,1.0,1.0
0.006289474781961547,-1.0,-1.0,1.0,1.0
0.012578949563923095,-1.0,-1.0,1.0,1.0
0.018868424345884642,-1.0,-0.998,1.0,0.998
0.02515789912784619,-1.0,-1.0,1.0,1.0
0.03144737390980774,-1.0,-0.998,1.0,0.998
0.037736848691769284,-1.0,-1.0,1.0,1.0
0.04402632347373083,-0.996,-0.99,0.996,0.99
0.05031579825569238,-1.0,-0.99,1.0,0.99
0.056605273037653926,-0.996,-0.996,1.0,1.0
0.06289474781961547,-0.996,-0.994,0.996,0.994
0.06918422260157703,-1.0,-0.998,1.0,0.998
0.07547369738353857,-1.0,-0.988,0.998,0.986
0.08176317216550011,-0.994,-0.992,0.996,0.994
0.08805264694746166,-0.998,-0.978,0.998,0.978
0.09434212172942322,-0.998,-0.982,0.996,0.98
0.10063159651138476,-0.992,-0.984,0.994,0.986
0.1069210712933463,-0.992,-0.982,0.998,0.988
0.11321054607530785,-0.992,-0.968,0.998,0.974
0.1195000208572694,-0.984,-0.964,0.998,0.978
0.12578949563923095,-0.996,-0.97,0.992,0.966
0.1320789704211925,-0.994,-0.974,0.994,0.974
0.13836844520315406,-0.998,-0.954,0.99,0.946
0.1446579199851156,-0.988,-0.942,0.994,0.948
0.15094739476707714,-0.99,-0.948,0.996,0.954
0.15723686954903868,-0.99,-0.946,0.988,0.944
0.16352634433100022,-0.996,-0.93,0.982,0.916
0.16981581911296179,-0.972,-0.932,0.99,0.9500000000000001
0.17610529389492333,-0.99,-0.942,0.992,0.944
0.18239476867688487,-0.976,-0.914,0.982,0.92
0.18868424345884643,-0.988,-0.922,0.98,0.914
0.19497371824080797,-0.976,-0.898,0.972,0.894
0.20126319302276952,-0.984,-0.944,0.99,0.95
0.20755266780473106,-0.978,-0.918,0.982,0.922
0.2138421425866926,-0.972,-0.896,0.978,0.902
0.22013161736865416,-0.986,-0.908,0.974,0.896
0.2264210921506157,-0.984,-0.886,0.978,0.88
0.23271056693257725,-0.98,-0.886,0.976,0.882
0.2390000417145388,-0.984,-0.89,0.97,0.876
0.24528951649650035,-0.974,-0.892,0.956,0.874
0.2515789912784619,-0.99,-0.844,0.97,0.824
0.25786846606042346,-0.964,-0.868,0.986,0.89
0.264157940842385,-0.976,-0.866,0.952,0.842
0.27044741562434654,-0.964,-0.872,0.966,0.874
0.2767368904063081,-0.97,-0.86,0.972,0.862
0.2830263651882696,-0.96,-0.828,0.946,0.814
0.2893158399702312,-0.962,-0.866,0.958,0.862
0.2956053147521927,-0.946,-0.846,0.962,0.862
0.3018947895341543,-0.946,-0.852,0.936,0.8420000000000001
0.30818426431611584,-0.954,-0.8,0.946,0.792
0.31447373909807735,-0.94,-0.804,0.952,0.8160000000000001
0.3207632138800389,-0.946,-0.812,0.954,0.8200000000000001
0.32705268866200043,-0.946,-0.822,0.946,0.822
0.333342163443962,-0.94,-0.804,0.922,0.7860000000000001
0.33963163822592357,-0.938,-0.778,0.93,0.7700000000000001
0.3459211130078851,-0.956,-0.784,0.922,0.7500000000000001
